Site,Latitude,Longitude,Genetics,Planting,Year
chatham_ont,42.38,-82.2524,2,2018/7/7,2018
ivesdale_il,39.9481,-88.44975,4,2018/5/14,2018
neoga_il,39.323,-88.452,4,2018/5/11,2018
urbana_il,40.05325,-88.23485,4,2018/5/8,2018
manhattan_ks,38.1326,-96.62,4,2018/5/18,2018
onaga_ks,39.4889,-96.17,4,2018/5/11,2018
ottawa_ks,38.5404,-95.2477,4,2018/5/15,2018
novelty_mo,39.9428,-92.0534,4,2018/5/16,2018
portagevilleclay_mo,36.3987,-88.6051,4,2018/5/28,2018
portagevilleloam_mo,36.39516667,-89.6102,4,2018/5/1,2018
rockport_mo,40.273,-95.4743,4,2018/5/22,2018
thiefriverfalls_mn,48.1283,-96.2427,-1,2018/6/16,2018
crookston_mn,47.805,-96.61426667,0,2018/5/23,2018
shelly_mn,47.4264,-96.8317,0,2018/5/24,2018
casselton_nd,46.8866,-97.2386,0,2018/5/7,2018
morris_mn,45.3552,-95.5436,1,2018/5/13,2018
arthur_il,39.70646667,-88.47023333,3,2018/5/7,2018
urbana_il,40.05325,-88.23485,3,2018/5/7,2018
wanatah_in,41.4444,-86.9437,3,2018/5/25,2018
novelty_mo,39.9428,-92.0534,3,2018/5/15,2018
rockport_mo,40.273,-95.4743,3,2018/5/23,2018
urbana_il,40.05325,-88.23485,4,2018/5/7,2018
novelty_mo,39.9428,-92.0534,4,2018/5/15,2018
rockport_mo,40.273,-95.4743,4,2018/5/23,2018
